Terminal - Communication
2022/7/11 16:16:14

Time;Data;Telegram;Info
16:09:37.632;"COM6 opened (115200 Bit/s)";;
16:09:37.632;"1 GOBJ 1000.00";"Transmit: 53 07 01 01 00 10 00 42 45";
16:09:38.149;;;"No response"
16:09:38.296;"COM6 closed";;
16:09:38.381;"COM6 opened (115200 Bit/s)";;
16:09:38.381;"1 GOBJ 1000.00";"Transmit: 53 07 01 01 00 10 00 42 45";
16:09:38.882;;;"No response"
16:09:38.882;"0 GOBJ 1000.00";"Transmit: 53 07 00 01 00 10 00 E9 45";
16:09:39.384;;;"No response"
16:09:39.531;"COM6 closed";;
16:09:39.631;"COM6 opened (115200 Bit/s)";;
16:09:39.785;"COM6 closed";;
16:09:40.001;"COM6 opened (115200 Bit/s)";;
16:09:40.001;"1 GOBJ 1000.00";"Transmit: 53 07 01 01 00 10 00 42 45";
16:09:40.503;;;"No response"
16:09:40.503;"1 GOBJ 1018.04";"Transmit: 53 07 01 01 18 10 04 F4 45";
16:09:41.004;;;"No response"
16:09:51.414;"Node 1 - Bootup: MC5010 S ET";"Receive: 53 0F 01 00 4D 43 35 30 31 30 20 53 20 45 54 B9 45";
16:09:51.683;"COM6 closed";;
16:09:51.768;"COM6 opened (115200 Bit/s)";;
16:09:51.783;"1 GOBJ 1000.00";"Transmit: 53 07 01 01 00 10 00 42 45";
16:09:51.799;"1 GOBJ 1000.00 = 4325778 (0x00420192)";"Receive: 53 0B 01 01 00 10 00 92 01 42 00 60 45";
16:09:51.799;"1 GLOBJ 1008.00";"Transmit: 53 07 01 08 08 10 00 43 45";
16:09:51.830;"1 GLOBJ 1008.00 = MC5010 S ET";"Receive: 53 14 01 08 08 10 00 0B 00 4D 43 35 30 31 30 20 53 20 45 54 EC 45 
... Receive: 53 05 01 0A 01 A5 45";
16:09:51.830;"1 GOBJ 1018.01";"Transmit: 53 07 01 01 18 10 01 A4 45";
16:09:51.846;"1 GOBJ 1018.01 = 327 (0x00000147)";"Receive: 53 0B 01 01 18 10 01 47 01 00 00 11 45";
16:09:51.846;"1 GOBJ 1023.00";"Transmit: 53 07 01 01 23 10 00 61 45";
16:09:51.862;"1 GOBJ 1023.00 = Request aborted: Object does not exist in the object dictionary (Abort Code = 0x06020000)";"Receive: 53 0B 01 03 23 10 00 00 00 02 06 6B 45";"Error receiving"
16:09:51.868;"1 GOBJ 1018.04";"Transmit: 53 07 01 01 18 10 04 F4 45";
16:09:51.884;"1 GOBJ 1018.04 = 131900103 (0x07DCA2C7)";"Receive: 53 0B 01 01 18 10 04 C7 A2 DC 07 13 45";
16:09:51.884;"1 GLOBJ 6403.00";"Transmit: 53 07 01 08 03 64 00 69 45";
16:09:51.915;"1 GLOBJ 6403.00 = 4221G018BXTH";"Receive: 53 15 01 08 03 64 00 0C 00 34 32 32 31 47 30 31 38 42 58 54 48 0A 45 
... Receive: 53 05 01 0A 01 A5 45";
16:09:52.063;"COM6 closed";;
16:09:52.263;"COM6 opened (115200 Bit/s)";;
16:09:52.269;"1 GOBJ 1018.04";"Transmit: 53 07 01 01 18 10 04 F4 45";"Serial number (Identity object)"
16:09:52.285;"1 GOBJ 1018.04 = 131900103 (0x07DCA2C7)";"Receive: 53 0B 01 01 18 10 04 C7 A2 DC 07 13 45";
16:09:52.348;"1 GLOBJ 100A.00";"Transmit: 53 07 01 08 0A 10 00 41 45";"Manufacturer software version"
16:09:52.385;"1 GLOBJ 100A.00 = 0101.02K";"Receive: 53 11 01 08 0A 10 00 08 00 30 31 30 31 2E 30 32 4B 92 45 
... Receive: 53 05 01 0A 01 A5 45";
16:09:52.486;"1 GOBJ 3001.0A";"Transmit: 53 07 01 01 01 30 0A 96 45";"Program memory (Active program)"
16:09:52.501;"1 GOBJ 3001.0A = 16100 (0x3EE4)";"Receive: 53 09 01 01 01 30 0A E4 3E 42 45";
16:09:52.501;"1 GOBJ 2329.0B";"Transmit: 53 07 01 01 29 23 0B F9 45";"Motor type (Motor and application data for motor control)"
16:09:52.517;"1 GOBJ 2329.0B = 0 (0x00)";"Receive: 53 08 01 01 29 23 0B 00 5C 45";
16:09:52.517;"1 GOBJ 233F.00";"Transmit: 53 07 01 01 3F 23 00 B1 45";"Operation mode options"
16:09:52.532;"1 GOBJ 233F.00 = 49 (0x0031)";"Receive: 53 09 01 01 3F 23 00 31 00 71 45";
16:09:52.532;"1 GOBJ 608F.01";"Transmit: 53 07 01 01 8F 60 01 43 45";"Encoder increments (Position encoder resolution)"
16:09:52.548;"1 GOBJ 608F.01 = 16384 (0x00004000)";"Receive: 53 0B 01 01 8F 60 01 00 40 00 00 0F 45";
16:09:52.548;"1 GOBJ 6091.01";"Transmit: 53 07 01 01 91 60 01 5D 45";"Motor shaft revolutions (Gear ratio)"
16:09:52.564;"1 GOBJ 6091.01 = 1 (0x00000001)";"Receive: 53 0B 01 01 91 60 01 01 00 00 00 FA 45";
16:09:52.564;"1 GOBJ 6091.02";"Transmit: 53 07 01 01 91 60 02 F4 45";"Driving shaft revolutions (Gear ratio)"
16:09:52.586;"1 GOBJ 6091.02 = 1 (0x00000001)";"Receive: 53 0B 01 01 91 60 02 01 00 00 00 AC 45";
16:09:52.586;"1 GOBJ 6092.01";"Transmit: 53 07 01 01 92 60 01 5E 45";"Feed (Feed constant)"
16:09:52.602;"1 GOBJ 6092.01 = 16384 (0x00004000)";"Receive: 53 0B 01 01 92 60 01 00 40 00 00 ED 45";
16:09:52.602;"1 GOBJ 6092.02";"Transmit: 53 07 01 01 92 60 02 F7 45";"Shaft revolutions (Feed constant)"
16:09:52.617;"1 GOBJ 6092.02 = 1 (0x00000001)";"Receive: 53 0B 01 01 92 60 02 01 00 00 00 05 45";
16:09:52.617;"1 GOBJ 6096.01";"Transmit: 53 07 01 01 96 60 01 5A 45";"Numerator (Velocity factor)"
16:09:52.633;"1 GOBJ 6096.01 = 1 (0x00000001)";"Receive: 53 0B 01 01 96 60 01 01 00 00 00 FD 45";
16:09:52.633;"1 GOBJ 6096.02";"Transmit: 53 07 01 01 96 60 02 F3 45";"Divisor (Velocity factor)"
16:09:52.648;"1 GOBJ 6096.02 = 16384 (0x00004000)";"Receive: 53 0B 01 01 96 60 02 00 40 00 00 15 45";
16:09:52.648;"1 GLOBJ 6403.00";"Transmit: 53 07 01 08 03 64 00 69 45";"Motor catalogue number"
16:09:52.686;"1 GLOBJ 6403.00 = 4221G018BXTH";"Receive: 53 15 01 08 03 64 00 0C 00 34 32 32 31 47 30 31 38 42 58 54 48 0A 45 
... Receive: 53 05 01 0A 01 A5 45";
16:09:52.686;"1 GOBJ 2328.01";"Transmit: 53 07 01 01 28 23 01 58 45";"Controller type (Device data for thermal model)"
16:09:52.702;"1 GOBJ 2328.01 = 0 (0x00)";"Receive: 53 08 01 01 28 23 01 00 FD 45";
16:09:52.702;"1 GOBJ 2407.00";"Transmit: 53 07 01 01 07 24 00 8E 45";"SW revision number"
16:09:52.717;"1 GOBJ 2407.00 = 2273 (0x000008E1)";"Receive: 53 0B 01 01 07 24 00 E1 08 00 00 94 45";
16:09:52.717;"1 GLOBJ 1009.00";"Transmit: 53 07 01 08 09 10 00 42 45";"Manufacturer hardware version"
16:09:52.749;"1 GLOBJ 1009.00 = 0102.03B";"Receive: 53 11 01 08 09 10 00 08 00 30 31 30 32 2E 30 33 42 CF 45 
... Receive: 53 05 01 0A 01 A5 45";
16:09:52.849;"1 GOBJ 6502.00";"Transmit: 53 07 01 01 02 65 00 CA 45";"Supported drive modes"
16:09:52.865;"1 GOBJ 6502.00 = 933 (0x000003A5)";"Receive: 53 0B 01 01 02 65 00 A5 03 00 00 9F 45";
16:09:53.288;"1 GOBJ 2330.01";"Transmit: 53 07 01 01 30 23 01 40 45";"Actual commutation angle source (Switch position for actual values )"
16:09:53.303;"1 GOBJ 2330.01 = 2 (0x02)";"Receive: 53 08 01 01 30 23 01 02 18 45";
16:09:53.303;"1 GOBJ 2330.02";"Transmit: 53 07 01 01 30 23 02 E9 45";"Actual velocity source (Switch position for actual values )"
16:09:53.319;"1 GOBJ 2330.02 = 5 (0x05)";"Receive: 53 08 01 01 30 23 02 05 49 45";
16:09:53.319;"1 GOBJ 2330.03";"Transmit: 53 07 01 01 30 23 03 17 45";"Actual position source (Switch position for actual values )"
16:09:53.335;"1 GOBJ 2330.03 = 5 (0x05)";"Receive: 53 08 01 01 30 23 03 05 E2 45";
16:09:53.617;"1 GOBJ 6041.00";"Transmit: 53 07 01 01 41 60 00 73 45";Statusword
16:09:53.633;"1 GOBJ 6041.00 = 64 (0x0040)";"Receive: 53 09 01 01 41 60 00 40 00 C2 45";
16:09:53.648;"1 GOBJ 6060.00";"Transmit: 53 07 01 01 60 60 00 52 45";"Modes of operation"
16:09:53.664;"1 GOBJ 6060.00 = 9 (0x09)";"Receive: 53 08 01 01 60 60 00 09 54 45";
16:09:53.689;"1 GOBJ 6061.00";"Transmit: 53 07 01 01 61 60 00 53 45";"Modes of operation display"
16:09:53.705;"1 GOBJ 6061.00 = 9 (0x09)";"Receive: 53 08 01 01 61 60 00 09 AA 45";
16:09:53.720;"1 GOBJ 3001.03";"Transmit: 53 07 01 01 01 30 03 9F 45";"Actual program position (Active program)"
16:09:53.736;"1 GOBJ 3001.03 = 0 (0x0000)";"Receive: 53 09 01 01 01 30 03 00 00 3B 45";
16:09:53.751;"1 GOBJ 3001.04";"Transmit: 53 07 01 01 01 30 04 98 45";"Actual program state (Active program)"
16:09:53.773;"1 GOBJ 3001.04 = 0 (0x00)";"Receive: 53 08 01 01 01 30 04 00 97 45";
16:09:54.553;"1 GOBJ 3001.08";"Transmit: 53 07 01 01 01 30 08 C1 45";"Error state (Active program)"
16:09:54.569;"1 GOBJ 3001.08 = 1 (0x01)";"Receive: 53 08 01 01 01 30 08 01 9A 45";
16:09:54.569;"1 GOBJ 3001.09";"Transmit: 53 07 01 01 01 30 09 3F 45";"Error code (Active program)"
16:09:54.591;"1 GOBJ 3001.09 = 0 (0x0000)";"Receive: 53 09 01 01 01 30 09 00 00 31 45";
16:11:04.835;"1 GOBJ 1018.04";"Transmit: 53 07 01 01 18 10 04 F4 45";"Serial number (Identity object)"
16:11:04.872;"1 GOBJ 1018.04 = 131900103 (0x07DCA2C7)";"Receive: 53 0B 01 01 18 10 04 C7 A2 DC 07 13 45";
16:11:04.888;"1 GOBJ 6061.00";"Transmit: 53 07 01 01 61 60 00 53 45";"Modes of operation display"
16:11:04.903;"1 GOBJ 6061.00 = 9 (0x09)";"Receive: 53 08 01 01 61 60 00 09 AA 45";
16:11:04.903;"1 GOBJ 6061.00";"Transmit: 53 07 01 01 61 60 00 53 45";"Modes of operation display"
16:11:04.919;"1 GOBJ 6061.00 = 9 (0x09)";"Receive: 53 08 01 01 61 60 00 09 AA 45";
16:11:04.919;"1 GOBJ 6041.00";"Transmit: 53 07 01 01 41 60 00 73 45";Statusword
16:11:04.934;"1 GOBJ 6041.00 = 64 (0x0040)";"Receive: 53 09 01 01 41 60 00 40 00 C2 45";
16:11:05.675;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:05.690;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:05.706;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:05.721;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:06.423;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:06.439;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:06.454;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:06.476;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:07.178;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:07.194;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:07.209;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:07.225;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:07.927;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:07.942;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:07.958;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:07.980;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
